found,as_link,r_link,sid,rid,subject,type
True,True,True,1816,572,"Missionaries--China--Jiangsu Sheng",topical
True,True,True,1817,2139,"Missionary settlements--Congo (Democratic Republic)--Lodja",topical
True,True,True,1818,853,"Officers' spouses--England--London",topical
True,True,True,1819,2439,"Air traffic controllers--Florida--West Palm Beach",topical
True,True,True,1820,2263,"Methodists--Georgia--Thomaston",topical
True,True,True,1821,2263,"Missionaries--Georgia--Thomaston",topical
True,True,True,1822,411,"Plants--Georgia--Taylor County",topical
True,True,True,1823,926,"Tobacco industry--Georgia--Claxton",topical
True,True,True,1824,926,"Tobacco industry--Georgia--Metter",topical
True,True,True,1825,2365,"Hospitals--Germany--Augsburg",topical
True,True,True,1826,980,"Shipwrecks--Hawaii--Pearl Harbor",topical
True,True,True,1827,1146,"Nautical training-schools--Illinois--Chicago",topical
True,True,True,1828,351,"Schools--Indiana--Beech Grove (Marion County)",topical
True,True,True,1829,2233,"International relations--Italy--Trieste",topical
True,True,True,1830,942,"Cotton trade--New York--New York",topical
True,True,True,1831,942,"General stores--New York--New York",topical
True,True,True,1832,2329,"Sailing--New York--Long Island",topical
True,True,True,1833,1188,"Butter churns--Marketing--19th century",topical
True,True,True,1834,597,"Carriage manufacturers and dealers--North Carolina--Kinston",topical
True,True,True,1835,785,"Justices of the Peace--North Carolina--Edenton",topical
True,True,True,1836,641,"Labor Unions--North Carolina--Washington",topical
True,True,True,1837,1411,"Literary clubs--North Carolina--Tarboro",topical
True,True,True,1838,2357,"Military attachés--China--Hong Kong",topical
True,True,True,1839,2359,"Military attachés--France--Paris",topical
True,True,True,1840,2337,"Military attachés--Greece--Athens",topical
True,True,True,1841,630,"School lunchrooms, cafeterias, etc.--North Carolina--Management",topical
True,True,True,1842,937,"Women's book clubs--North Carolina--Greenville",topical
True,True,True,1843,793,"Radio scripts--Virginia--Richmond",topical
True,True,True,1844,424,"Calendar--North Carolina--New Bern",topical
True,True,True,1845,2343,"Military attachés--Russia--Moscow",topical
True,True,True,1846,909,"Capitulations, Military--Japan--Tokyo",topical
True,True,True,1847,450,"Missionaries--Japan--Kobe-shi",topical
True,True,True,1848,2242,"Missionaries--Japan--Nagasaki-shi",topical
True,True,True,1849,2332,"Typhoons--Japan--Okinawa Island",topical
True,True,True,1850,454,"Private schools--Kentucky--Pine Ridge",topical
True,True,True,1851,2242,"Missionaries--Korea (South)--Seoul",topical
True,True,True,1852,2267,"Missionaries--Liberia--Monrovia",topical
True,True,True,1853,800,"Commission merchants--Louisiana--New Orleans",topical
True,True,True,1854,362,"World War, 1939-1945--Malaysia--Malacca (Malacca)",topical
True,True,True,1855,1013,"Radioactive fallout--Marshall Islands--Bikini Atoll",topical
True,True,True,1856,2335,"College presidents--Maryland--Chestertown",topical
